,020001.OF,090001.OF,121002.OF,100020.OF,160603.OF,161605.OF,233001.OF,288001.OF
2010-07-26,3.838,3.4138,2.8545,3.862,3.222,2.452,2.0507,3.121
2010-07-27,3.837,3.4151,2.8512,3.8626,3.224,2.452,2.0517,3.119
2010-07-28,3.856,3.4274,2.8648,3.8786,3.237,2.473,2.0569,3.135
2010-07-29,3.858,3.4292,2.8666,3.8778,3.238,2.473,2.0546,3.138
2010-07-30,3.856,3.429,2.865,3.8772,3.239,2.472,2.0531,3.135
2010-08-02,3.871,3.4398,2.8741,3.8899,3.252,2.493,2.0578,3.148
2010-08-03,3.862,3.4333,2.866,3.8776,3.241,2.476,2.0523,3.138
2010-08-04,3.87,3.4377,2.8685,3.879,3.246,2.477,2.0554,3.143
2010-08-05,3.873,3.4386,2.8665,3.8783,3.248,2.476,2.0585,3.144
2010-08-06,3.888,3.4507,2.8755,3.8904,3.256,2.49,2.0648,3.157
2010-08-09,3.898,3.4553,2.8817,3.898,3.262,2.496,2.0663,3.163
2010-08-10,3.874,3.4354,2.8659,3.8734,3.241,2.474,2.0562,3.14
2010-08-11,3.881,3.4407,2.8679,3.8803,3.248,2.478,2.0603,3.143
2010-08-12,3.871,3.4348,2.8633,3.8747,3.247,2.469,2.0555,3.134
2010-08-13,3.882,3.4448,2.87,3.8879,3.258,2.482,2.0613,3.145
2010-08-16,3.898,3.461,2.8808,3.9062,3.272,2.501,2.068,3.161
2010-08-17,3.904,3.4672,2.884,3.9155,3.275,2.501,2.0707,3.164
2010-08-18,3.906,3.4657,2.881,3.9151,3.274,2.503,2.0703,3.163
2010-08-19,3.91,3.4672,2.8852,3.9158,3.271,2.507,2.0711,3.164
2010-08-20,3.894,3.4505,2.875,3.8976,3.257,2.491,2.0631,3.15
2010-08-23,3.896,3.455,2.874,3.9006,3.26,2.494,2.0665,3.151
2010-08-24,3.903,3.4605,2.8765,3.9084,3.266,2.502,2.0697,3.159
2010-08-25,3.888,3.4502,2.866,3.8964,3.255,2.488,2.0591,3.147
2010-08-26,3.892,3.455,2.8661,3.9017,3.257,2.49,2.0595,3.15
2010-08-27,3.901,3.4611,2.8682,3.9103,3.263,2.493,2.0623,3.153
2010-08-30,3.92,3.4795,2.8764,3.9298,3.28,2.523,2.071,3.167
2010-08-31,3.925,3.4843,2.8731,3.9276,3.288,2.529,2.0736,3.168
2010-09-01,3.919,3.4796,2.8684,3.9215,3.281,2.522,2.0684,3.16
2010-09-02,3.931,3.4895,2.876,3.9319,3.293,2.533,2.076,3.169
2010-09-03,3.935,3.4932,2.8777,3.9291,3.298,2.535,2.0799,3.175
2010-09-06,3.938,3.4955,2.8842,3.9338,3.295,2.536,2.0778,3.18
2010-09-07,3.939,3.4941,2.8849,3.9371,3.297,2.535,2.0796,3.181
2010-09-08,3.943,3.5003,2.8841,3.9395,3.301,2.541,2.084,3.182
2010-09-09,3.928,3.4903,2.8752,3.9276,3.294,2.533,2.0778,3.172
2010-09-10,3.933,3.5019,2.8768,3.9367,3.301,2.548,2.0809,3.176
2010-09-13,3.946,3.5134,2.8851,3.9464,3.31,2.565,2.0884,3.185
2010-09-14,3.952,3.5142,2.8857,3.9455,3.314,2.567,2.09,3.19
2010-09-15,3.937,3.5029,2.8786,3.9302,3.302,2.55,2.0813,3.178
2010-09-16,3.918,3.4923,2.8702,3.9156,3.288,2.534,2.0709,3.165
2010-09-17,3.92,3.4983,2.8698,3.9208,3.292,2.546,2.0713,3.17
2010-09-20,3.913,3.4941,2.8669,3.9232,3.289,2.539,2.0679,3.167
2010-09-21,3.912,3.4942,2.8669,3.9324,3.288,2.544,2.0675,3.163
2010-09-27,3.931,3.5113,2.8738,3.9478,3.302,2.57,2.0793,3.175
2010-09-28,3.929,3.5119,2.8686,3.9431,3.302,2.575,2.0772,3.174
2010-09-29,3.922,3.5064,2.8652,3.9365,3.292,2.562,2.0718,3.167
2010-09-30,3.935,3.5144,2.8758,3.9479,3.304,2.57,2.0795,3.177
2010-10-08,3.963,3.5334,2.8918,3.9713,3.323,2.595,2.0934,3.197
2010-10-11,3.97,3.5238,2.9029,3.97,3.323,2.578,2.0902,3.208
2010-10-12,3.976,3.525,2.9062,3.9647,3.324,2.567,2.0956,3.214
2010-10-13,3.99,3.5252,2.9169,3.9708,3.328,2.563,2.0985,3.221
2010-10-14,3.979,3.5146,2.9108,3.9531,3.312,2.538,2.0893,3.215
2010-10-15,3.986,3.5194,2.9199,3.9663,3.32,2.54,2.0898,3.231
2010-10-18,3.971,3.5206,2.914,3.9634,3.311,2.528,2.0798,3.218
2010-10-19,4.002,3.5407,2.9288,3.9837,3.331,2.547,2.0935,3.241
2010-10-20,4.018,3.5595,2.9306,3.9923,3.343,2.557,2.0975,3.244
2010-10-21,4.017,3.5544,2.9301,3.9844,3.348,2.554,2.1061,3.239
2010-10-22,4.031,3.5661,2.9314,3.9909,3.355,2.561,2.1158,3.247
2010-10-25,4.056,3.5848,2.9481,4.0093,3.374,2.583,2.1333,3.262
2010-10-26,4.05,3.5791,2.9493,3.9991,3.375,2.584,2.1295,3.263
2010-10-27,4.034,3.5653,2.9424,3.9883,3.37,2.56,2.1224,3.249
2010-10-28,4.032,3.5622,2.944,3.9875,3.375,2.553,2.1285,3.251
2010-10-29,4.043,3.5647,2.952,3.9921,3.389,2.557,2.1406,3.257
2010-11-01,4.068,3.5859,2.9652,4.0139,3.41,2.588,2.1522,3.277
2010-11-02,4.066,3.583,2.962,4.0057,3.406,2.578,2.1405,3.271
2010-11-03,4.049,3.5722,2.9551,4.0037,3.4,2.558,2.1264,3.264
2010-11-04,4.065,3.5852,2.9646,4.0217,3.417,2.579,2.136,3.282
2010-11-05,4.083,3.5942,2.9735,4.0366,3.425,2.586,2.1407,3.294
2010-11-08,4.098,3.6004,2.9896,4.048,3.441,2.597,2.1488,3.309
2010-11-09,4.098,3.6052,2.9906,4.049,3.446,2.596,2.1467,3.306
2010-11-10,4.092,3.6107,2.9931,4.0586,3.449,2.6,2.1448,3.304
2010-11-11,4.087,3.6074,2.9873,4.0546,3.441,2.588,2.1426,3.301
2010-11-12,4.025,3.5645,2.958,4.0091,3.401,2.526,2.1112,3.257
2010-11-15,4.044,3.5809,2.9752,4.029,3.419,2.552,2.1221,3.272
2010-11-16,4.009,3.5553,2.9556,3.9968,3.395,2.515,2.1054,3.253
2010-11-17,3.979,3.5269,2.9376,3.966,3.366,2.474,2.091,3.229
2010-11-18,3.994,3.537,2.9441,3.9809,3.378,2.489,2.0991,3.239
2010-11-19,4.018,3.5529,2.9588,4.0009,3.403,2.515,2.1139,3.255
2010-11-22,4.023,3.559,2.9643,4.0088,3.406,2.519,2.1226,3.26
2010-11-23,4.01,3.5483,2.9571,4.0017,3.392,2.509,2.1219,3.25
2010-11-24,4.031,3.5688,2.9697,4.0227,3.416,2.545,2.1344,3.261
2010-11-25,4.037,3.5769,2.973,4.0336,3.418,2.55,2.1314,3.265
2010-11-26,4.031,3.5741,2.9703,4.0295,3.417,2.545,2.1328,3.26
2010-11-29,4.033,3.5834,2.9733,4.0404,3.424,2.56,2.1383,3.262
2010-11-30,4.016,3.5673,2.9601,4.024,3.406,2.539,2.1291,3.248
2010-12-01,4.013,3.5615,2.9593,4.0176,3.405,2.529,2.1252,3.247
2010-12-02,4.018,3.5581,2.9608,4.0206,3.405,2.525,2.1277,3.249
2010-12-03,4.009,3.5566,2.9587,4.0188,3.4,2.521,2.1216,3.247
2010-12-06,3.997,3.5493,2.9488,4.0173,3.39,2.51,2.1169,3.242
2010-12-07,4.014,3.564,2.9546,4.0317,3.404,2.526,2.1242,3.249
2010-12-08,4.008,3.5673,2.954,4.0245,3.406,2.53,2.1249,3.244
2010-12-09,3.991,3.5549,2.9448,4.0072,3.396,2.513,2.121,3.229
2010-12-10,4.008,3.5614,2.9521,4.0217,3.408,2.522,2.1272,3.236
2010-12-13,4.037,3.5822,2.9715,4.051,3.432,2.546,2.1412,3.255
2010-12-14,4.044,3.5855,2.9781,4.054,3.439,2.547,2.1498,3.261
2010-12-15,4.034,3.584,2.9746,4.0507,3.438,2.543,2.1475,3.262
2010-12-16,4.034,3.5833,2.9756,4.0525,3.436,2.542,2.1468,3.259
2010-12-17,4.036,3.5841,2.9769,4.0475,3.437,2.541,2.149,3.262
